date,open,high,low,close,closeadj,volume
2021-01-20,2.35,2.35,2.1,2.16,2.16,11313164
2021-01-21,2.22,2.45,2.08,2.43,2.43,8656917
2021-01-22,2.36,2.36,2.222,2.27,2.27,4776175
2021-01-25,2.35,2.52,2.322,2.44,2.44,7201102
2021-01-26,2.5,2.5,2.37,2.43,2.43,4119144
2021-01-27,2.35,2.47,2.33,2.39,2.39,4206043
2021-01-28,2.35,2.39,2.205,2.24,2.24,4948339
2021-01-29,2.2,2.37,2.18,2.21,2.21,4223254
2021-02-01,2.25,2.33,2.18,2.27,2.27,3947688
2021-02-02,2.3,2.41,2.26,2.36,2.36,3014901
2021-02-03,2.37,2.52,2.344,2.46,2.46,3598465
2021-02-04,2.48,2.5,2.35,2.42,2.42,2985459
2021-02-05,2.5,2.54,2.41,2.52,2.52,4943152
2021-02-08,2.74,2.87,2.58,2.6,2.6,7917953
2021-02-09,2.69,2.73,2.56,2.68,2.68,3788320
2021-02-10,2.8,2.835,2.615,2.79,2.79,4959330
2021-02-11,2.85,2.85,2.66,2.73,2.73,4121905
2021-02-12,2.73,2.8,2.63,2.77,2.77,2308201
2021-02-16,2.82,2.86,2.7,2.78,2.78,4151127
2021-02-17,2.78,2.78,2.61,2.67,2.67,3582298
2021-02-18,2.6,2.64,2.52,2.59,2.59,2599246
2021-02-19,2.6,2.667,2.584,2.6,2.6,2312197
2021-02-22,2.57,2.725,2.52,2.55,2.55,3052088
2021-02-23,2.48,2.498,2.26,2.45,2.45,3413753
2021-02-24,2.41,2.5,2.39,2.44,2.44,1468723
2021-02-25,2.45,2.452,2.235,2.3,2.3,3953080
2021-02-26,2.3,2.315,2.15,2.19,2.19,3490972
2021-03-01,2.22,2.35,2.215,2.3,2.3,2307160
2021-03-02,2.22,2.33,2.22,2.24,2.24,1494687
2021-03-03,2.27,2.298,2.19,2.22,2.22,2023760
2021-03-04,2.21,2.24,2.07,2.16,2.16,3193953
2021-03-05,2.14,2.23,2.02,2.21,2.21,4917541
2021-03-08,2.18,2.24,2.115,2.14,2.14,2283055
2021-03-09,2.18,2.32,2.16,2.3,2.3,2985778
2021-03-10,2.36,2.42,2.28,2.34,2.34,2336123
2021-03-11,2.13,2.3,2.12,2.16,2.16,3846802
2021-03-12,2.18,2.415,2.17,2.39,2.39,3119963
2021-03-15,2.38,2.49,2.31,2.47,2.47,2485116
2021-03-16,2.5,2.5,2.37,2.4,2.4,1579861
2021-03-17,2.43,2.43,2.3,2.41,2.41,1164405
2021-03-18,2.37,2.45,2.29,2.31,2.31,1288038
2021-03-19,2.3,2.321,2.22,2.27,2.27,1625776
2021-03-22,2.27,2.284,2.15,2.16,2.16,1754258
2021-03-23,2.16,2.21,2.08,2.1,2.1,1553014
2021-03-24,2.06,2.1,1.88,1.9,1.9,6872751
